:START_ID,:END_ID,:TYPE,source_file,evidence,category
大熊猫,800万年,RELATED_TO,D:\panda\docs\熊猫知识\[202107201706]大熊猫奇妙课堂大熊猫的历史.md,大熊猫已经在地球上生存了至少800万年,熊猫知识
始熊猫,拟熊类,RELATED_TO,D:\panda\docs\熊猫知识\[202107201706]大熊猫奇妙课堂大熊猫的历史.md,始熊猫……是一种由拟熊类演变而成的以食肉为主的最早的熊猫,熊猫知识
始熊猫,小种大熊猫,RELATED_TO,D:\panda\docs\熊猫知识\[202107201706]大熊猫奇妙课堂大熊猫的历史.md,始熊猫的主支在中国的中部和南部继续演化为大熊猫类，其中一种名为小种大熊猫，出现在距今约 300万年的更新世初期,熊猫知识
小种大熊猫,300万年前,RELATED_TO,D:\panda\docs\熊猫知识\[202107201706]大熊猫奇妙课堂大熊猫的历史.md,小种大熊猫……出现在距今约 300万年的更新世初期,熊猫知识
大熊猫武陵山亚种,50-70万年前,RELATED_TO,D:\panda\docs\熊猫知识\[202107201706]大熊猫奇妙课堂大熊猫的历史.md,到了距今 50-70万年的更新世中晚期，大熊猫武陵山亚种和大熊猫巴氏亚种出现,熊猫知识
大熊猫巴氏亚种,50-70万年前,RELATED_TO,D:\panda\docs\熊猫知识\[202107201706]大熊猫奇妙课堂大熊猫的历史.md,到了距今 50-70万年的更新世中晚期，大熊猫武陵山亚种和大熊猫巴氏亚种出现,熊猫知识
大熊猫武陵山亚种,小种大熊猫,RELATED_TO,D:\panda\docs\熊猫知识\[202107201706]大熊猫奇妙课堂大熊猫的历史.md,武陵山亚种是小种大熊猫到巴氏亚种的过渡型,熊猫知识
大熊猫武陵山亚种,大熊猫巴氏亚种,RELATED_TO,D:\panda\docs\熊猫知识\[202107201706]大熊猫奇妙课堂大熊猫的历史.md,武陵山亚种是小种大熊猫到巴氏亚种的过渡型,熊猫知识
大熊猫武陵山亚种,现生大熊猫,RELATED_TO,D:\panda\docs\熊猫知识\[202107201706]大熊猫奇妙课堂大熊猫的历史.md,化石大熊猫武陵山亚种的体型仅比现生大熊猫小约 1/8,熊猫知识
大熊猫巴氏亚种,现生大熊猫,RELATED_TO,D:\panda\docs\熊猫知识\[202107201706]大熊猫奇妙课堂大熊猫的历史.md,化石大熊猫巴氏亚种的体型普遍比现生大熊猫大约 1/8,熊猫知识
南方一小支大熊猫,现生大熊猫,RELATED_TO,D:\panda\docs\熊猫知识\[202107201706]大熊猫奇妙课堂大熊猫的历史.md,更新世中晚期……直到距今约 1 万 8 千年前的第四纪冰期之后……北方的大熊猫也随即绝迹，仅留下南方一小支大熊猫继续繁衍生息，成为我们现在所看到的现生大熊猫,熊猫知识
阿尔芒·戴维,1862-1874年,RELATED_TO,D:\panda\docs\熊猫知识\[202107201706]大熊猫奇妙课堂大熊猫的历史.md,1862-1874 年期间，法国传教士阿尔芒·戴维来华传教,熊猫知识
大熊猫,大熊猫,RELATED_TO,D:\panda\docs\熊猫知识\[202107201706]大熊猫奇妙课堂大熊猫的历史.md,1869 年的春天，戴维在路过一户姓李的人家……得知它被当地人叫作“竹熊”,熊猫知识
